================================================= Global Summary Table =================================================
Benchmark                  Model           Freq       IPC  Accuracy  Coverage  BW_Share |   Issued  Useful Useless    Late     Hit  Others
605.mcf-s1.trace.xz        pythia2048      300     0.1312    14.20%     2.98%    15.41% |   210034   29818  139218      76   35981    4941
605.mcf-s1.trace.xz        no4096          300     0.1337     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder4096  300     0.1341     2.32%     2.13%     3.51% |   921191   21346   13069    7487  791692   87597
605.mcf-s1.trace.xz        pythia4096      300     0.1339    24.90%     5.45%    14.10% |   218857   54500   90425     100   66433    7399
605.mcf-s1.trace.xz        no256           600     0.1411     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder256   600     0.1412     0.94%     0.86%    30.90% |   921397    8646  806401    6332    7945   92073
605.mcf-s1.trace.xz        pythia256       600     0.1414     1.54%     0.50%    14.86% |   326949    5033  316592     120    3812    1392
605.mcf-s1.trace.xz        no512           600     0.1413     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder512   600     0.1415     1.22%     1.12%    21.00% |   921371   11238  441088    6219  371657   91169
605.mcf-s1.trace.xz        pythia512       600     0.1418     2.65%     0.88%    14.68% |   330210    8756  304563      98   14682    2111
605.mcf-s1.trace.xz        no1024          600     0.1418     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder1024  600     0.1438     2.55%     2.35%     3.72% |   921194   23493   13068    5336  791728   87569
605.mcf-s1.trace.xz        pythia1024      600     0.1431     6.40%     2.16%    22.56% |   337874   21637  280997     108   30857    4275
605.mcf-s1.trace.xz        no2048          600     0.1422     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder2048  600     0.1438     2.55%     2.35%     3.72% |   921194   23493   13068    5336  791728   87569
605.mcf-s1.trace.xz        pythia2048      600     0.1451    12.59%     4.39%    23.36% |   348548   43896  235482      86   61501    7583
605.mcf-s1.trace.xz        no4096          600     0.1422     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder4096  600     0.1438     2.55%     2.35%     3.72% |   921194   23493   13068    5336  791728   87569
605.mcf-s1.trace.xz        pythia4096      600     0.1482    22.66%     8.34%    21.83% |   368129   83434  156222     101  116989   11383
605.mcf-s1.trace.xz        no256           1200    0.1491     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder256   1200    0.1495     0.96%     0.89%    30.91% |   921806    8861  806696    6130    8014   92105
605.mcf-s1.trace.xz        pythia256       1200    0.1494     1.15%     0.49%    18.53% |   425837    4914  414193     162    4659    1909
605.mcf-s1.trace.xz        no512           1200    0.1492     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder512   1200    0.1497     1.29%     1.19%    21.04% |   921782   11932  441588    5566  371511   91185
605.mcf-s1.trace.xz        pythia512       1200    0.1498     2.46%     1.05%    18.28% |   428122   10514  397089     124   17928    2467
605.mcf-s1.trace.xz        no1024          1200    0.1497     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder1024  1200    0.1517     2.77%     2.55%     3.94% |   921683   25494   13195    3405  792036   87553
605.mcf-s1.trace.xz        pythia1024      1200    0.1510     5.43%     2.36%    25.55% |   434576   23588  366923      98   38894    5073
605.mcf-s1.trace.xz        no2048          1200    0.1501     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder2048  1200    0.1517     2.77%     2.55%     3.94% |   921683   25494   13195    3405  792036   87553
605.mcf-s1.trace.xz        pythia2048      1200    0.1532    11.97%     5.32%    28.25% |   444101   53179  304923      88   76770    9141
605.mcf-s1.trace.xz        no4096          1200    0.1501     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder4096  1200    0.1517     2.77%     2.55%     3.94% |   921683   25494   13195    3405  792036   87553
605.mcf-s1.trace.xz        pythia4096      1200    0.1565    21.84%    10.02%    26.25% |   458856  100202  200133     105  144700   13716
605.mcf-s1.trace.xz        no256           2400    0.1514     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder256   2400    0.1518     1.19%     1.10%    31.00% |   921951   10980  806779    3628    8066   92498
605.mcf-s1.trace.xz        pythia256       2400    0.1517     1.13%     0.57%    21.15% |   501640    5672  488368     126    5379    2095
605.mcf-s1.trace.xz        no512           2400    0.1515     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder512   2400    0.1520     1.46%     1.35%    21.12% |   921921   13487  441756    3625  371474   91579
605.mcf-s1.trace.xz        pythia512       2400    0.1520     2.24%     1.12%    20.80% |   501020   11209  467090      79   19929    2713
605.mcf-s1.trace.xz        no1024          2400    0.1520     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder1024  2400    0.1539     2.77%     2.55%     3.95% |   921817   25549   13244    3221  792058   87745
605.mcf-s1.trace.xz        pythia1024      2400    0.1533     4.98%     2.51%    27.01% |   503025   25075  428520      75   43951    5404
605.mcf-s1.trace.xz        no2048          2400    0.1524     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder2048  2400    0.1539     2.77%     2.55%     3.95% |   921817   25549   13244    3221  792058   87745
605.mcf-s1.trace.xz        pythia2048      2400    0.1558    11.59%     5.87%    31.12% |   506114   58650  350561      81   87154    9668
605.mcf-s1.trace.xz        no4096          2400    0.1524     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder4096  2400    0.1539     2.77%     2.55%     3.95% |   921817   25549   13244    3221  792058   87745
605.mcf-s1.trace.xz        pythia4096      2400    0.1593    21.56%    11.00%    28.67% |   510148  109968  226177      78  159412   14513
605.mcf-s1.trace.xz        no256           4800    0.1526     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder256   4800    0.1530     1.19%     1.10%    31.00% |   921974   10997  806807    3536    8077   92557
605.mcf-s1.trace.xz        pythia256       4800    0.1529     1.20%     0.61%    21.49% |   511703    6142  497797      92    5428    2244
605.mcf-s1.trace.xz        no512           4800    0.1527     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder512   4800    0.1532     1.46%     1.35%    21.12% |   921951   13490  441826    3545  371454   91636
605.mcf-s1.trace.xz        pythia512       4800    0.1533     2.31%     1.18%    21.11% |   510458   11776  475448      95   20213    2926
605.mcf-s1.trace.xz        no1024          4800    0.1532     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder1024  4800    0.1551     2.77%     2.55%     3.95% |   921836   25539   13255    3204  792075   87763
605.mcf-s1.trace.xz        pythia1024      4800    0.1545     5.00%     2.55%    27.17% |   510010   25477  434253      75   44784    5421
605.mcf-s1.trace.xz        no2048          4800    0.1536     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder2048  4800    0.1551     2.77%     2.55%     3.95% |   921836   25539   13255    3204  792075   87763
605.mcf-s1.trace.xz        pythia2048      4800    0.1569    11.50%     5.86%    31.27% |   510141   58648  353661      54   88223    9555
605.mcf-s1.trace.xz        no4096          4800    0.1536     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder4096  4800    0.1551     2.77%     2.55%     3.95% |   921836   25539   13255    3204  792075   87763
605.mcf-s1.trace.xz        pythia4096      4800    0.1604    21.52%    11.00%    28.70% |   511207  110027  226963      89  159831   14297
605.mcf-s1.trace.xz        no256           9600    0.1530     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder256   9600    0.1534     1.19%     1.10%    31.00% |   921923   10971  806784    3520    8066   92582
605.mcf-s1.trace.xz        pythia256       9600    0.1532     1.03%     0.53%    21.43% |   510159    5266  497079      69    5563    2182
605.mcf-s1.trace.xz        no512           9600    0.1531     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder512   9600    0.1536     1.46%     1.35%    21.12% |   921902   13466  441792    3530  371456   91658
605.mcf-s1.trace.xz        pythia512       9600    0.1537     2.51%     1.29%    21.19% |   512967   12896  476236     112   20555    3168
605.mcf-s1.trace.xz        no1024          9600    0.1536     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder1024  9600    0.1555     2.77%     2.55%     3.95% |   921792   25529   13238    3199  792058   87768
605.mcf-s1.trace.xz        pythia1024      9600    0.1548     4.90%     2.50%    27.14% |   509992   24988  434323      76   45080    5525
605.mcf-s1.trace.xz        no2048          9600    0.1540     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder2048  9600    0.1555     2.77%     2.55%     3.95% |   921792   25529   13238    3199  792058   87768
605.mcf-s1.trace.xz        pythia2048      9600    0.1573    11.67%     5.96%    31.36% |   511249   59645  353802      60   88106    9636
605.mcf-s1.trace.xz        no4096          9600    0.1540     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder4096  9600    0.1555     2.77%     2.55%     3.95% |   921792   25529   13238    3199  792058   87768
605.mcf-s1.trace.xz        pythia4096      9600    0.1608    21.58%    11.02%    28.68% |   510774  110208  226380      76  159846   14264
623.xalancbmk-s1.trace.xz  no256           150     0.2117     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder256   150     0.2254     5.24%     5.10%    12.39% |   974379   51036   82909  464865   16178  359391
623.xalancbmk-s1.trace.xz  pythia256       150     0.2234    29.81%    22.31%    28.20% |   748349  223070   82042  277390    1693  164154
623.xalancbmk-s1.trace.xz  no512           150     0.2118     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder512   150     0.2253     5.59%     5.45%    12.70% |   974379   54513   82518  461416   16521  359411
623.xalancbmk-s1.trace.xz  pythia512       150     0.2231    29.69%    22.35%    28.39% |   752771  223495   83953  275626    1934  167763
623.xalancbmk-s1.trace.xz  no1024          150     0.2116     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder1024  150     0.2256     5.19%     5.05%    12.33% |   974379   50536   81799  465424   16050  360570
623.xalancbmk-s1.trace.xz  pythia1024      150     0.2230    28.98%    21.82%    27.89% |   752811  218174   83027  281249    2097  168264
623.xalancbmk-s1.trace.xz  no2048          150     0.3466     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder2048  150     0.2288     5.18%     5.05%    12.46% |   974380   50465   80267  460348   23767  359533
623.xalancbmk-s1.trace.xz  pythia2048      150     0.2272    28.83%    21.71%    28.08% |   753078  217141   81764  278509    6900  168764
623.xalancbmk-s1.trace.xz  no4096          150     1.0660     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder4096  150     1.0657     0.01%     0.01%    89.66% |   974379      60       0      31  953816   20472
623.xalancbmk-s1.trace.xz  pythia4096      150     1.0652     0.01%     0.01%    90.74% |   755482      77       0      25  752027    3353
623.xalancbmk-s1.trace.xz  no256           300     0.3869     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder256   300     0.4292    19.58%    19.08%    25.28% |   974379  190832   82909  325169   15215  360254
623.xalancbmk-s1.trace.xz  pythia256       300     0.4171    43.03%    32.17%    37.31% |   747680  321726   82058  178100    1901  163895
623.xalancbmk-s1.trace.xz  no512           300     0.3870     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder512   300     0.4290    19.59%    19.09%    25.29% |   974379  190872   82518  325173   15285  360531
623.xalancbmk-s1.trace.xz  pythia512       300     0.4172    43.05%    32.19%    37.31% |   747683  321895   81412  177956    2178  164242
623.xalancbmk-s1.trace.xz  no1024          300     0.3870     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder1024  300     0.4290    19.59%    19.09%    25.29% |   974379  190864   81799  325204   15449  361063
623.xalancbmk-s1.trace.xz  pythia1024      300     0.4174    43.10%    32.22%    37.33% |   747633  322206   80501  177920    2221  164785
623.xalancbmk-s1.trace.xz  no2048          300     0.5064     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder2048  300     0.4333    19.39%    18.90%    25.41% |   974379  188978   80266  321921   24225  358989
623.xalancbmk-s1.trace.xz  pythia2048      300     0.4248    42.56%    31.78%    37.72% |   746878  317843   78416  175203   12316  163100
623.xalancbmk-s1.trace.xz  no4096          300     1.0663     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder4096  300     1.0663     0.01%     0.01%    89.63% |   974379      59       0      32  953820   20468
623.xalancbmk-s1.trace.xz  pythia4096      300     1.0662     0.01%     0.01%    90.84% |   756191      81       0      20  752739    3351
623.xalancbmk-s1.trace.xz  no256           600     0.4781     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder256   600     0.6116    32.89%    32.05%    37.24% |   974380  320489   82910  195521   67043  308417
623.xalancbmk-s1.trace.xz  pythia256       600     0.5885    51.91%    38.80%    43.43% |   747487  388001   82034  110872    1885  164695
623.xalancbmk-s1.trace.xz  no512           600     0.4782     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder512   600     0.6115    32.90%    32.06%    37.26% |   974380  320596   82519  195451   67013  308801
623.xalancbmk-s1.trace.xz  pythia512       600     0.5890    51.79%    38.76%    43.38% |   748427  387621   81409  112951    2206  164240
623.xalancbmk-s1.trace.xz  no1024          600     0.4781     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder1024  600     0.6115    32.89%    32.04%    37.25% |   974380  320445   81800  195633   67148  309354
623.xalancbmk-s1.trace.xz  pythia1024      600     0.5885    51.05%    38.51%    43.28% |   754289  385052   83001  114359    2448  169429
623.xalancbmk-s1.trace.xz  no2048          600     0.5910     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder2048  600     0.6154    32.50%    31.67%    37.35% |   974380  316708   80267  194197   75126  308082
623.xalancbmk-s1.trace.xz  pythia2048      600     0.5929    51.13%    38.56%    43.77% |   754128  385571   81752  111134    7069  168602
623.xalancbmk-s1.trace.xz  no4096          600     1.0664     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder4096  600     1.0665     0.01%     0.01%    90.05% |   974379      74       0      17  953822   20466
623.xalancbmk-s1.trace.xz  pythia4096      600     1.0664     0.01%     0.01%    91.06% |   756202      89       0      12  752746    3355
623.xalancbmk-s1.trace.xz  no256           1200    0.5232     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder256   1200    0.6987    43.02%    41.92%    46.35% |   974380  419183   82910   96824   70221  305242
623.xalancbmk-s1.trace.xz  pythia256       1200    0.6673    50.47%    38.09%    42.91% |   754611  380873   84661  116527    2492  170058
623.xalancbmk-s1.trace.xz  no512           1200    0.5233     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder512   1200    0.6987    43.02%    41.92%    46.35% |   974380  419187   82519   96860   70222  305592
623.xalancbmk-s1.trace.xz  pythia512       1200    0.6674    50.44%    38.10%    42.91% |   755279  380992   83989  117111    2793  170394
623.xalancbmk-s1.trace.xz  no1024          1200    0.5232     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder1024  1200    0.6986    43.03%    41.93%    46.37% |   974380  419296   81800   96780   70310  306194
623.xalancbmk-s1.trace.xz  pythia1024      1200    0.6674    50.52%    38.12%    42.93% |   754547  381234   83070  116297    2950  170996
623.xalancbmk-s1.trace.xz  no2048          1200    0.6292     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder2048  1200    0.7023    42.37%    41.28%    46.33% |   974380  412827   80267   98076   78616  304594
623.xalancbmk-s1.trace.xz  pythia2048      1200    0.6721    50.36%    38.04%    43.28% |   755271  380357   81745  114290    8467  170412
623.xalancbmk-s1.trace.xz  no4096          1200    1.0664     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder4096  1200    1.0665     0.01%     0.01%    90.14% |   974379      77       0      14  953822   20466
623.xalancbmk-s1.trace.xz  pythia4096      1200    1.0665     0.01%     0.01%    91.06% |   756195      89       0      11  752742    3353
623.xalancbmk-s1.trace.xz  no256           2400    0.5470     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder256   2400    0.7293    43.20%    42.10%    46.51% |   974380  420964   82910   93937   89372  287197
623.xalancbmk-s1.trace.xz  pythia256       2400    0.6952    52.16%    39.36%    44.08% |   754636  393610   84669  103754    2529  170074
623.xalancbmk-s1.trace.xz  no512           2400    0.5470     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder512   2400    0.7292    43.20%    42.10%    46.52% |   974380  420952   82519   93979   89356  287574
623.xalancbmk-s1.trace.xz  pythia512       2400    0.6952    52.18%    39.37%    44.08% |   754620  393736   84012  103671    2786  170415
623.xalancbmk-s1.trace.xz  no1024          2400    0.5470     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder1024  2400    0.7292    43.21%    42.10%    46.53% |   974380  421036   81800   93924   89487  288133
623.xalancbmk-s1.trace.xz  pythia1024      2400    0.6953    52.21%    39.40%    44.10% |   754568  393963   83073  103521    2997  171014
623.xalancbmk-s1.trace.xz  no2048          2400    0.6467     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder2048  2400    0.7326    42.55%    41.46%    46.49% |   974380  414551   80268   95360   97260  286941
623.xalancbmk-s1.trace.xz  pythia2048      2400    0.6998    51.93%    39.22%    44.38% |   755275  392201   81740  102434    8469  170431
623.xalancbmk-s1.trace.xz  no4096          2400    1.0664     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder4096  2400    1.0666     0.01%     0.01%    90.14% |   974379      77       0      14  953822   20466
623.xalancbmk-s1.trace.xz  pythia4096      2400    1.0665     0.01%     0.01%    91.08% |   756195      90       0      10  752742    3353
623.xalancbmk-s1.trace.xz  no256           4800    0.5596     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder256   4800    0.7453    43.20%    42.09%    46.51% |   974380  420915   82910   93420   89350  287785
623.xalancbmk-s1.trace.xz  pythia256       4800    0.7077    52.21%    39.40%    44.12% |   754638  393980   84669   91157    2529  182303
623.xalancbmk-s1.trace.xz  no512           4800    0.5597     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder512   4800    0.7452    43.20%    42.09%    46.51% |   974380  420915   82519   93450   89337  288159
623.xalancbmk-s1.trace.xz  pythia512       4800    0.7076    52.23%    39.41%    44.12% |   754620  394142   84012   91067    2786  182613
623.xalancbmk-s1.trace.xz  no1024          4800    0.5596     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder1024  4800    0.7453    43.21%    42.10%    46.53% |   974380  420990   81800   93406   89474  288710
623.xalancbmk-s1.trace.xz  pythia1024      4800    0.7077    52.26%    39.43%    44.14% |   754568  394341   83073   90973    2997  183184
623.xalancbmk-s1.trace.xz  no2048          4800    0.6556     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder2048  4800    0.7484    42.54%    41.45%    46.49% |   974380  414510   80268   94853   97243  287506
623.xalancbmk-s1.trace.xz  pythia2048      4800    0.7121    51.98%    39.26%    44.42% |   755272  392573   81740   90204    8469  182286
623.xalancbmk-s1.trace.xz  no4096          4800    1.0664     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder4096  4800    1.0666     0.01%     0.01%    90.17% |   974379      78       0      13  953822   20466
623.xalancbmk-s1.trace.xz  pythia4096      4800    1.0665     0.01%     0.01%    91.08% |   756195      90       0      10  752742    3353
623.xalancbmk-s1.trace.xz  no256           9600    0.5648     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder256   9600    0.7522    43.18%    42.08%    46.50% |   974380  420768   82910   93567   89462  287673
623.xalancbmk-s1.trace.xz  pythia256       9600    0.7116    52.19%    39.39%    44.11% |   754641  393869   84670   91270    2528  182304
623.xalancbmk-s1.trace.xz  no512           9600    0.5649     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder512   9600    0.7521    43.18%    42.08%    46.50% |   974380  420764   82519   93601   89449  288047
623.xalancbmk-s1.trace.xz  pythia512       9600    0.7116    52.21%    39.40%    44.11% |   754620  394014   84012   91195    2786  182613
623.xalancbmk-s1.trace.xz  no1024          9600    0.5648     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder1024  9600    0.7522    43.19%    42.08%    46.52% |   974380  420846   81800   93550   89585  288599
623.xalancbmk-s1.trace.xz  pythia1024      9600    0.7117    52.24%    39.42%    44.13% |   754570  394225   83073   91091    2997  183184
623.xalancbmk-s1.trace.xz  no2048          9600    0.6591     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder2048  9600    0.7552    42.53%    41.44%    46.48% |   974380  414371   80268   94992   97351  287398
623.xalancbmk-s1.trace.xz  pythia2048      9600    0.7161    51.96%    39.25%    44.41% |   755273  392453   81740   90325    8469  182286
623.xalancbmk-s1.trace.xz  no4096          9600    1.0665     0.00%     0.00%     0.00% |        0       0       0       0       0       0
623.xalancbmk-s1.trace.xz  pathfinder4096  9600    1.0666     0.01%     0.01%    90.17% |   974379      78       0      13  953822   20466
623.xalancbmk-s1.trace.xz  pythia4096      9600    1.0665     0.01%     0.01%    91.08% |   756195      90       0      10  752742    3353
bfs-10.trace.gz            no256           150     0.1958     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder256   150     0.1965    47.36%    45.88%    50.88% |   968827  458848  257058  212458   17958   22505
bfs-10.trace.gz            pythia256       150     0.1975    47.70%    46.65%    51.40% |   978021  466529  256352  230756    3780   20604
bfs-10.trace.gz            no512           150     0.1958     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder512   150     0.1974    47.56%    46.08%    52.54% |   968827  460793  249346  212957   22371   23360
bfs-10.trace.gz            pythia512       150     0.1984    47.90%    46.85%    53.10% |   978010  468486  248958  231750    7380   21436
bfs-10.trace.gz            no1024          150     0.1975     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder1024  150     0.1999    47.32%    45.84%    56.47% |   968828  458425  238374  215186   31415   25428
bfs-10.trace.gz            pythia1024      150     0.2013    47.61%    46.57%    57.02% |   978023  465677  236379  234605   17959   23403
bfs-10.trace.gz            no2048          150     0.1990     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder2048  150     0.2020    46.72%    45.26%    56.46% |   968828  452659  230822  217671   38669   29007
bfs-10.trace.gz            pythia2048      150     0.2034    46.92%    45.89%    56.91% |   978055  458883  228282  237367   26649   26874
bfs-10.trace.gz            no4096          150     0.1992     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder4096  150     0.2022    46.46%    45.01%    56.45% |   968828  450111  221810  218621   41845   36441
bfs-10.trace.gz            pythia4096      150     0.2035    46.63%    45.60%    56.86% |   978014  456024  219448  238595   29723   34224
bfs-10.trace.gz            no256           300     0.2366     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder256   300     0.3108    59.24%    57.39%    59.05% |   968827  573934  257059   97369   19844   20621
bfs-10.trace.gz            pythia256       300     0.3151    60.26%    58.95%    60.14% |   978176  589487  256340  107955    3778   20616
bfs-10.trace.gz            no512           300     0.2367     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder512   300     0.3119    59.46%    57.61%    61.06% |   968827  576105  249348   97642   24283   21449
bfs-10.trace.gz            pythia512       300     0.3164    60.52%    59.19%    62.23% |   978224  591976  248950  108477    7373   21448
bfs-10.trace.gz            no1024          300     0.2385     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder1024  300     0.3155    59.37%    57.52%    65.89% |   968828  575190  238375   98420   33349   23494
bfs-10.trace.gz            pythia1024      300     0.3204    60.42%    59.10%    67.15% |   978166  591043  236372  109391   17949   23411
bfs-10.trace.gz            no2048          300     0.2404     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder2048  300     0.3185    58.96%    57.12%    66.16% |   968828  571235  230822   99094   40629   27048
bfs-10.trace.gz            pythia2048      300     0.3235    59.90%    58.59%    67.33% |   978158  585922  228278  110432   26643   26883
bfs-10.trace.gz            no4096          300     0.2411     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder4096  300     0.3190    58.67%    56.84%    66.19% |   968828  568436  221810  100294   43834   34454
bfs-10.trace.gz            pythia4096      300     0.3237    59.62%    58.31%    67.34% |   978122  583170  219441  111555   29726   34230
bfs-10.trace.gz            no256           600     0.2435     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder256   600     0.3526    62.65%    60.70%    61.40% |   968827  607006  257059   64298   20222   20242
bfs-10.trace.gz            pythia256       600     0.3573    63.94%    62.28%    62.56% |   973977  622782  258352   68065    4708   20070
bfs-10.trace.gz            no512           600     0.2437     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder512   600     0.3538    62.90%    60.93%    63.52% |   968827  609353  249349   64393   24631   21101
bfs-10.trace.gz            pythia512       600     0.3588    64.23%    62.56%    64.76% |   973973  625602  250955   68205    8309   20902
bfs-10.trace.gz            no1024          600     0.2455     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder1024  600     0.3577    62.89%    60.93%    68.64% |   968828  609292  238375   64317   33729   23115
bfs-10.trace.gz            pythia1024      600     0.3632    64.24%    62.57%    70.00% |   974070  625702  238384   68236   18879   22869
bfs-10.trace.gz            no2048          600     0.2474     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder2048  600     0.3614    62.53%    60.57%    68.99% |   968828  605765  230822   64564   41009   26668
bfs-10.trace.gz            pythia2048      600     0.3668    63.81%    62.15%    70.30% |   974062  621576  230266   68280   27601   26339
bfs-10.trace.gz            no4096          600     0.2482     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder4096  600     0.3626    62.31%    60.37%    69.09% |   968828  603701  221810   65029   44206   34082
bfs-10.trace.gz            pythia4096      600     0.3677    63.60%    61.95%    70.38% |   974063  619484  221442   68775   30671   33691
